question_id,question_string,sparql_query,goldComparisonIRI,goldComparisonLabel,predicted_comparison_label,predicted_comparison_IRI,cosine_scores,correct_predictions
HQ0078,Where did the study with maximal geographic scale take place?,"SELECT ?location, ?location_label
WHERE {
  {
    SELECT (MAX(?geo_scale) AS ?max_geo_scale)
    WHERE {
      orkgr:R149849 orkgp:compareContribution ?contrib.
      ?contrib orkgp:P41568 ?geo_scale.
    }
  }
  orkgr:R149849 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41568 ?geo_scale;
           orkgp:P37524 ?location.
  ?location rdfs:label ?location_label.
  FILTER(?geo_scale = ?max_geo_scale)
}",R149849,Genetic variability (COI variation) in studies large sampled (>1000 sequences),"['Pilot mini collection of studies on libraries as third places.', 'Genetic variability (COI variation) in studies large sampled (>1000 sequences)', 'Prevalence of epilepsy in Europe']","['R110361', 'R149849', 'R75729']",[0.29038793 0.20513064 0.18981382],1
HQ0022,"Does paper ""Disambiguating authors in citations on the web and authorship correlations"" employe Cosine similarity?","ASK
WHERE {
  orkgr:R6187 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?paper_title.
  ?cont orkgp:P5002 orkgr:R6006.
  FILTER(REGEX(STR(?paper_title), ""Disambiguating authors in citations on the web and authorship correlations"", ""i""))
}",R6187,Semi-supervised author name disambiguation,"['Graph-based author name disambiguation', 'Semi-supervised author name disambiguation', 'Comparison of scholarly knowledge graphs']","['R6751', 'R6187', 'R78023']",[0.58820987 0.54931796 0.38993612],1
HQ0099,For what piezoresistive material the least response time was obtained?,"SELECT ?piezoresistive_materials WHERE {
  orkgr:R138374 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41021 ?piezoresistive_materials.
  ?contrib orkgp:P41022 ?response_time.
}
ORDER BY ASC(?response_time)
LIMIT 1",R138374,Comparison of flexible piezoresistive pressure sensors based on different materials,"['Comparison of flexible piezoresistive pressure sensors based on different materials', ""Mineralogical analysis of Mars in Visible-infrared wavelength range of electromagnetic spectrum using MRO's CRISM-3"", 'Rare-earth complexes and their applications']","['R138374', 'R155445', 'R111045']",[0.4129788  0.27836856 0.1872314 ],1
HQ0032,What is the most common lead compound?,"SELECT ?compound
WHERE {
  orkgr:R75638 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P35194 ?compound.
}
ORDER BY DESC(COUNT(?compound))
LIMIT 1",R75638,Anuran antimicrobial peptides activity and mechanism against different biological membranes,"['Rare-earth complexes and their applications', 'Sources of major ion evolution in groundwater chemistry of developing urban areas', 'Toxins produced by phytopathogenic Pseudomonas species and pathovars']","['R111045', 'R110597', 'R69027']",[0.26215187 0.20174994 0.1884627 ],0
HQ0017,What is the most common location in the studies?,"SELECT ?locations
WHERE {
  orkgr:R111045 orkgp:compareContribution ?cont.
  ?cont orkgp:P37537 ?locations.
}
ORDER BY DESC(COUNT(?locations))
LIMIT 1",R111045,Rare-earth complexes and their applications,"['Pilot mini collection of studies on libraries as third places.', 'Semantic representations of scholarly communication', 'Semantic representations of scholarly communication']","['R110361', 'R8364', 'R8364']",[0.52282745 0.2533856  0.2533856 ],0
HQ0027,For which country of study overall prevalence of epilepsy is the highest?,"SELECT ?country, ?country_label
WHERE {
  orkgr:R75729 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15512 ?country.
  ?contrib orkgp:P16013 ?overall_prevalence.
  ?country rdfs:label ?country_label.
  ?overall_prevalence rdfs:label ?overall_prevalence_value
}
ORDER BY DESC(?overall_prevalence_value)
LIMIT 1",R75729,Prevalence of epilepsy in Europe,"['Prevalence of epilepsy in Europe', 'Trends and methodological implications of psychodrama psychotherapy research', 'Pilot mini collection of studies on libraries as third places.']","['R75729', 'R44980', 'R110361']",[0.7881073  0.2560756  0.21332303],1
HQ0046,Are children examined in the studies?,"ASK {
  orkgr:R44979 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P23161 ?population.
  FILTER(REGEX(?population, ""ildren""))
}",R44979,Comparison of studies related to psychotherapeutic interventions in cancer,"['Pilot mini collection of studies on libraries as third places.', 'Genetic variability (COI variation) in studies large sampled (>1000 sequences)', 'Comparison of studies related to psychotherapeutic interventions in cancer']","['R110361', 'R149849', 'R44979']",[0.31428605 0.2149338  0.2066417 ],1
HQ0058,"What are the precision, recall, and f1 values of all compared studies that used the algorithm naive bayes in combination with the machine learning feature bag of words to classfy user feedback as feature request? ","SELECT ?precision ?recall ?f1
WHERE {
  orkgr:R112387 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15006 ?algorithms.
  ?algorithms rdfs:label ?alg_names.
  FILTER(REGEX(?alg_names, ""Naive bayes""))
  ?algorithms orkgp:P36075 ?features.
  ?features rdfs:label ?fea_names.
  FILTER(REGEX(?fea_names, ""Bag of words""))
  ?features orkgp:P37029 ?categories.
  ?categories rdfs:label ?cat_names.
  FILTER(REGEX(?cat_names, ""Feature request""))
  ?categories orkgp:P3004 ?precision;
              orkgp:P5015 ?recall;
              orkgp:P18037 ?f1.
}",R112387,Overview of Approaches that Classify User Feedback as Feature Request,"['Overview of Approaches that Classify User Feedback as Feature Request', 'Overview of Approaches that Classify User Feedback as Feature Request', 'QA evaluations on QALD-6']","['R112387', 'R112387', 'R6898']",[0.46964574 0.46964574 0.2811222 ],1
HQ0055,What is the average energy generation for each energy source considered in 5 year intervals?,"SELECT ?rangeId ?energy_sources_labels (AVG(?eng_gen_value) AS ?avg_eng_gen_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?paper orkgp:P31 ?contrib;
         orkgp:P29 ?year.
  BIND(xsd:int(?year) AS ?y).
  VALUES (?rangeId ?min ?max) {
    (""2001-2005"" 2001 2005)
    (""2006-2010"" 2006 2010)
    (""2011-2015"" 2011 2015)
    (""2016-2020"" 2016 2020)
  }
  FILTER(?min <= ?y && ?y <= ?max).
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43134 ?energy_generation.
  ?energy_generation orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?eng_gen_value).
}
ORDER BY ASC(?rangeId)",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"[""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R153801', 'R153801', 'R153801']",[0.48890167 0.48890167 0.48890167],1
HQ0077,What is the most common type of biosensor?,"SELECT ?biosensor
WHERE {
  orkgr:R151435 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43095 ?biosensor.
}
ORDER BY DESC(COUNT(?biosensor))
LIMIT 1",R151435,Characteristics of Biosensors Based on ZnO One-Dimensional Nanostructures,"['Characteristics of Biosensors Based on ZnO One-Dimensional Nanostructures', 'Different nanocarriers used as drug delivery vehicles for the CNS', 'Comparison of flexible piezoresistive pressure sensors based on different materials']","['R151435', 'R144364', 'R138374']",[0.4469334  0.321172   0.28967658],1
HQ0052,What is the average installed capacity for each energy source considered?,"SELECT ?energy_sources_labels (AVG(?installed_cap_value) AS ?average_installed_cap_value)
WHERE {
  orkgr:R153801 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P43135 ?energy_sources.
  ?energy_sources rdfs:label ?energy_sources_labels;
                  orkgp:P43133 ?installed_capacity.
  ?installed_capacity orkgp:HAS_VALUE ?value.
  BIND(xsd:float(?value) AS ?installed_cap_value)
}",R153801,Comparison of Studies on Germany's Energy Supply in 2050,"[""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R153801', 'R153801', 'R153801']",[0.41588753 0.41588753 0.41588753],1
HQ0011,Which system has the worst recall?,"SELECT ?evaluation ?system_name
WHERE {
  orkgr:R6946 orkgp:compareContribution ?cont.
  ?cont orkgp:P34 ?evaluation.
  ?evaluation orkgp:P5015 ?recall;
              rdfs:label ?system_name.
  BIND(xsd:float(?recall) AS ?r)
}
ORDER BY ?r
LIMIT 1",R6946,QA evaluations on QALD-5,"['QA evaluations on QALD-6', 'QA evaluations on QALD-5', 'Genetic variability (COI variation) in studies large sampled (>1000 sequences)']","['R6898', 'R6946', 'R149849']",[0.21441704 0.20880854 0.19462821],1
HQ0100,What is the maximum reaction yield for the studies?,"SELECT ?reactions_yield WHERE {
  orkgr:R137086 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37560 ?reactions_yield.
}
ORDER BY DESC(?reactions_yield)
LIMIT 1",R137086,Catalytic activation of C-O bond,"['Sources of major ion evolution in groundwater chemistry of developing urban areas', 'Invasion Biology- Enemy release hypothesis', 'Catalytic activation of C-O bond']","['R110597', 'R58002', 'R137086']",[0.25096163 0.22955996 0.22751345],1
HQ0070,For which region of data collection the number of sampling stations is the largest?,"SELECT ?region
WHERE {
  orkgr:R155584 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P41068 ?number_of_stations;
           orkgp:P27029 ?region.
}
ORDER BY DESC(?number_of_stations)
LIMIT 1",R155584,Assessment of picophytoplankton abundance in the Indian Ocean,"['Genetic variability (COI variation) in studies large sampled (>1000 sequences)', 'Assessment of picophytoplankton abundance in the Ocean', 'Assessment of picophytoplankton abundance in the Indian Ocean']","['R149849', 'R155561 ', 'R155584']",[0.31455132 0.23221418 0.22328107],1
HQ0069,Which sector is the most commonly modeled energy sector?,"SELECT ?label (COUNT(?label) AS ?number)
WHERE {
  ?sector rdfs:label ?label;
          a ?class.
  ?class owl:equivalentClass <http://openenergy-platform.org/ontology/oeo/OEO_00000367>.
  orkgr:R150337 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P37586 ?scenario.
  ?scenario orkgp:P37675 ?study.
  ?study orkgp:P37668 ?sector.
  
}
ORDER BY DESC(?number)
LIMIT 1",R150337,Comparison of Scenario Factsheets from the Open Energy Platform,"[""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050"", ""Comparison of Studies on Germany's Energy Supply in 2050""]","['R153801', 'R153801', 'R153801']",[0.48165444 0.48165444 0.48165444],0
HQ0063,Is Cobb-Douglas functional applied in the studies?,"ASK {
  orkgr:R34493 orkgp:compareContribution ?contrib.
  ?contrib orkgp:P15661 ?funcionals.
  ?funcionals rdfs:label ?funtionals_labels.
  FILTER(REGEX(?funtionals_labels, ""Cobb-Douglas""))
}",R34493,Cost functions estimation for port sector,"['Pilot mini collection of studies on libraries as third places.', 'Trends and methodological implications of psychodrama psychotherapy research', 'Transforming lignin-derived monomers to catechol, phenol, and benzene by heterogeneous catalysts']","['R110361', 'R44980', 'R155272']",[0.2814432  0.21227856 0.16631201],0
HQ0001,"What type of data does the system proposed in paper titled ""Open Research Knowledge Graph"" support?","SELECT ?datatype 
WHERE {
  orkgr:R8364 orkgp:compareContribution ?cont.
  ?paper orkgp:P31 ?cont;
         rdfs:label ?title.
  ?cont  orkgp:P7046 ?sys.
  ?sys orkgp:P7055 ?datatype.
  FILTER(REGEX(STR(?title), ""Open Research Knowledge Graph""))
}",R8364,Semantic representations of scholarly communication,"['Comparison of scholarly knowledge graphs', 'Semantic representations of scholarly communication', 'Semantic representations of scholarly communication']","['R78023', 'R8364', 'R8364']",[0.5468803  0.41834688 0.41834688],1
